제목,브랜드,방,가격
스테이 펠릭스 충무로역점 402호,종로부암점 D room,#성별무관 #셰어하우스,#충무로역
스테이 펠릭스 충무로역점 518호,상명대점 Room B,#남성전용 #셰어하우스,#충무로역
스테이 펠릭스 충무로역점 517호,홍제점 Room A,#여성전용 #셰어하우스,#충무로역
스테이 펠릭스 충무로역점 516호,홍오하우스 Room D,#남성전용 #셰어하우스,#충무로역
스테이 펠릭스 충무로역점 417호,89호점 Room A,#여성전용 #셰어하우스,#충무로역
아띠 쉐어빌리지,홍네하우스 홍제점 Room C,#여성전용 #셰어하우스,50 / 32만원 (2인실)
곰 쉐어하우스,홍제점 Room A,#여성전용 #셰어하우스,100 / 42만원 (1인실)
다락,홍원하우스 Room C,#성별무관 #셰어하우스,50 / 26만원 (2인실)
쏠 쉐어하우스,연신내점 1인실,#남성전용 #셰어하우스,50 / 31만원 (1인실)
다락,헤븐하우스 시원한2인실,#성별무관 #셰어하우스,50 / 32만원 (2인실)
Calm&Mood,홍제 18호점 Room105,#여성전용 #셰어하우스,100 / 47만원 (1인실)
자몽 셰어하우스,연신내점 3층 Room 2,#여성전용 #셰어하우스,300 / 28만원 (1인실)
한송 셰어하우스,연신내역점 E룸,#여성전용 #셰어하우스,60 / 33만원 (2인실)
블랑 쉐어하우스,응암점 1인실A,#여성전용 #셰어하우스,100 / 44만원 (1인실)
Calm&Mood,DMC(구산) 22호점 Room102,#여성전용 #셰어하우스,200 / 42만원 (1인실)
동거동락,17호 경복궁역점 B룸,#여성전용 #셰어하우스,100 / 46만원 (2인실)
코코빌,하우스메이트 Room A,#여성전용 #셰어하우스,88 / 53만원 (1인실)
달램쉐어하우스,홍대입구3호점 A룸 - 3인실,#여성전용 #셰어하우스,50 / 20만원 (3인실)
노란숲,혜화 국제관점 2인실,#여성전용 #셰어하우스,150 / 43만원 (2인실)
이너프하우스,혜화 6호점 B,#여성전용 #셰어하우스,100 / 52만원 (1인실)
