매물명,지역,보증금,월임대료,고정관리비,공과금(N/1),방개수,화장실개수,전용면적,쇼파,와이파이,에어컨,세탁기,건조대,청소기,전자레인지,냉장고,다리미,정수기,토스터기,전기포트
동거동락 21호점 청담점,강남구 청담동,102만 ~ 126만,41만 ~ 53만,5만,O,1인실 3개 2인실 1개,2개,110.81㎡,O,O,O,O,O,O,O,O,O,O,X,X
더뮤즈 논현점,강남구 논현동,78만 ~ 90만,39만 ~ 45만,3만,O,2인실 1개 3인실 1개 4인실 1개,2개,159.0㎡,O,O,O,O,O,O,O,O,X,O,X,X
복덕 청담사거리,강남구 청담동,100만,43만 ~ 48만,5만,O,1인실 1개 2인실 2개,0개,,X,O,O,O,O,O,O,O,X,O,X,X
테라스107 테라스107,강남구 논현동,70만 ~ 80만,70만 ~ 80만,10만,O,1인실 7개,7개,178.7㎡,X,O,O,O,O,O,O,O,O,O,O,O
더하임 청담점(여성전용),강남구 청담동,200만,45만 ~ 57만,5만,X,1인실 3개 2인실 3개,0개,,X,X,X,X,X,X,X,X,X,X,X,X
바다유 하우스 2호점 삼성중앙역,강남구 삼성동,70만 ~ 100만,36만 ~ 52만,5만,X,1인실 1개 2인실 2개,1개,90.0㎡,O,O,O,O,O,O,O,O,O,O,O,O
젤리 청담점,강남구 청담동,600만 ~ 1000만,43만 ~ 44만,,O,1인실 3개,1개,60.0㎡,X,O,O,O,O,O,O,O,X,X,X,O
MODOO 강남점,강남구 논현동,39만 ~ 49만,39만 ~ 49만,5만,X,1인실 2개 2인실 1개,1개,42.09㎡,X,X,X,X,X,X,X,X,X,X,X,X
이든 청담역,강남구 삼성동,80만 ~ 100만,41만 ~ 46만,5만,O,2인실 2개 3인실 1개,2개,122.3㎡,X,X,X,X,X,X,X,X,X,X,X,X
복덕 청담 1호점,강남구 청담동,90만 ~ 100만,41만 ~ 58만,5만,O,1인실 2개 2인실 1개,1개,,X,O,O,O,O,X,O,O,X,O,X,X
슈니 삼성중앙점,강남구 삼성동,50만 ~ 110만,35만 ~ 55만,3만,O,1인실 2개 3인실 1개,1개,90.0㎡,X,O,O,O,O,O,O,O,O,O,X,O
