업체명,지점명,성별전용,보증금,월세,인실
쉐어하우스 까사,숭실대점,여성전용,80만원,43만원,2인실
커먼타운,성수 952 Room B,여성전용,300만원,49만원,3인실
핵이 하우스,태릉입구역점,여성전용,0만원,42만원,1인실
로뎀나무,Joy하우스 논현점,여성전용,60만원,25만원,3인실
소행주 특집,장안동점,여성전용,150만원,29만원,2인실
마주공간 쉐어하우스,논현2호점,여성전용,100만원,41만원,2인실
더핑크브릭,서울과기대점,여성전용,100만원,35만원,2인실
복덕방,논현2호점,여성전용,100만원,57만원,1인실
복덕방,압구정 1호점,여성전용,90만원,45만원,2인실
MOVHOUSE,논현2호점,여성전용,100만원,59만원,1인실
선녀방,신대방점,여성전용,80만원,42만원,2인실
장안생활,장한평점,성별무관,1000만원,47만원,1인실
자몽 셰어하우스,상도점,여성전용,300만원,40만원,1인실
세렘 쉐어하우스,신대방점,여성전용,100만원,35만원,1인실
에이블하우스,성수 2호점,여성전용,300만원,36만원,3인실
동거동락,8호 논현점,여성전용,99만원,46만원,2인실
품안의 새,인셉션_신대방3거리역 Room ImB,여성전용,68만원,34만원,2인실
달램쉐어하우스,논현4호점,여성전용,500만원,17만원,2인실
제인스하우스,신도림점,여성전용,58만원,29만원,2인실
달램쉐어하우스,관악점,여성전용,50만원,14만원,2인실
양드레하우스,논현점,여성전용,100만원,35만원,2인실
마주공간 쉐어하우스,강남(학동)점,여성전용,80만원,38만원,2인실
(남성전용)라임 스페이스,반포점,남성전용,100만원,56만원,1인실
하비비 하우스,신논현점,남성전용,100만원,32만원,3인실
MDP 쉐어하우스,신논현점,여성전용,60만원,50만원,2인실
동거동락,24호 신논현점,여성전용,122만원,52만원,1인실
양드레하우스,신논현점,여성전용,100만원,40만원,2인실
(남성전용)라임 스페이스,신논현점,남성전용,50만원,39만원,2인실
오플랫 쉐어하우스,오플랫 신논현점,여성전용,100만원,55만원,1인실
젤리 쉐어하우스,청담점,여성전용,1000만원,44만원,1인실
양드레하우스,신논현2호점,여성전용,100만원,43만원,2인실
팸하우스,세종대 3호점,여성전용,100만원,39만원,2인실
팸하우스,세종대 2호점,여성전용,100만원,36만원,2인실
동그라미 쉐어하우스,청담 1호점,남성전용,50만원,45만원,1인실
제이 쉐어하우스,세종대점,여성전용,42만원,42만원,2인실
잠자리,신림 : 4호점,여성전용,104만원,52만원,1인실
동그라미 쉐어하우스,학동역점,남성전용,50만원,52만원,1인실
여기쯤 쉐어하우스,여기쯤 논현2호점,여성전용,80만원,35만원,3인실
쉐어하우스 더뮤즈,강남구청점,여성전용,78만원,39만원,3인실
동네친구,8호점,여성전용,86만원,43만원,2인실
슈니하우스,건대 2호점,여성전용,50만원,52만원,1인실
동거동락,10호 건국대점,여성전용,110만원,51만원,1인실
양드레하우스,강남2호점,여성전용,100만원,45만원,2인실
우리별 포디하우스,사당별 룸1(2인실),여성전용,100만원,29만원,2인실
세이프헤븐,이수점,여성전용,100만원,42만원,1인실
복덕방,청담사거리점,여성전용,100만원,54만원,1인실
포도 쉐어하우스,신논현점,남성전용,90만원,43만원,1인실
편안한家 쉐어하우스,건대점,여성전용,100만원,39만원,1인실
청춘가,서울대입구 3호점,여성전용,112만원,56만원,1인실
잠자리,신림 : 2호점,여성전용,90만원,45만원,1인실
동네친구,4호점,여성전용,86만원,43만원,1인실
팸하우스,세종대점,여성전용,100만원,37만원,2인실
우리집,건대_세종대점,여성전용,200만원,66만원,1인실
하메 쉐어하우스,목동점,여성전용,100만원,0만원,2인실
원더우먼 쉐어하우스,건대점,여성전용,138만원,46만원,1인실
슬리퍼 쉐어하우스,대학동점,여성전용,100만원,45만원,1인실
품안의 새,스위티_서울대입구역 2인실 ImB,여성전용,76만원,38만원,2인실
셰어하우스 쉼,서울대입구역점,여성전용,50만원,37만원,2인실
품안의 새,핏타팻_서울대입구역 Room ImP,여성전용,68만원,34만원,2인실
원더우먼 쉐어하우스,니케 하우스 Room A,여성전용,90만원,45만원,1인실
포그니 쉐어하우스,서울대입구역점,여성전용,100만원,32만원,2인실
잠자리,서울대입구(3) : 25호점,여성전용,100만원,50만원,1인실
동그라미 쉐어하우스,서울대입구역점,남성전용,50만원,32만원,1인실
쉐어하우스 리시안,이수역 1호 Room B,여성전용,100만원,50만원,1인실
슈니하우스,건대점,여성전용,50만원,45만원,1인실
네잎클로버 하우스,투미닛_봉천역 2인실(럭셔리),여성전용,72만원,36만원,2인실
쉐어하우스 이층집,신림역 1호점,여성전용,100만원,40만원,1인실
그린,엔틱 하우스 ROOM 3,여성전용,100만원,43만원,2인실
쉐어하우스 이층집,건대역 2호점,여성전용,100만원,36만원,2인실
그린,서울대입구역 2호점,여성전용,100만원,39만원,2인실
동네친구,10호점,남성전용,100만원,46만원,1인실
쉐어필링스,신대방역점,남성전용,94만원,43만원,1인실
잠자리,신대방 : 6호점,남성전용,90만원,45만원,1인실
JAMI 쉐어하우스,대림점,여성전용,100만원,43만원,1인실
동네친구,13호점,남성전용,100만원,34만원,2인실
모니카 하우스,광진1호점,여성전용,80만원,40만원,2인실
동그라미 쉐어하우스,남성역점,성별무관,50만원,34만원,1인실
원더우먼 쉐어하우스,마망 하우스 Room A,여성전용,100만원,46만원,1인실
그래,군자 대학가점,남성전용,100만원,35만원,2인실
슬리퍼 쉐어하우스,건대점,여성전용,114만원,52만원,1인실
Calm&Mood,방배 23호점,여성전용,200만원,47만원,1인실
단미하우스,까치산역점,여성전용,86만원,43만원,1인실
우주,32호점,남성전용,114만원,49만원,1인실
율 하우스,서울대입구역점,여성전용,72만원,36만원,3인실
스테이영 쉐어하우스,서울대입구점,여성전용,40만원,32만원,3인실
동거동락,15호 서울대입구역점,여성전용,106만원,47만원,2인실
그린,서울대입구역점,여성전용,100만원,40만원,1인실
셰어하우스 쉼,봉천역점,여성전용,100만원,45만원,1인실
꼬므,대림역 : 1호점,여성전용,110만원,50만원,1인실
아이엠 쉐어하우스,서울대입구역점,여성전용,100만원,48만원,1인실
동네친구,6호점,여성전용,86만원,43만원,1인실
T house,방배점,남성전용,90만원,38만원,2인실
포그니 쉐어하우스,신림역점,여성전용,30만원,28만원,2인실
도란도란하우스,신대방점,여성전용,70만원,30만원,2인실
home 601,home601_강남 u룸,여성전용,1000만원,50만원,2인실
슈니하우스,건대3호점,여성전용,50만원,52만원,1인실
쉐어필링스,서울대입구역점,남성전용,200만원,52만원,1인실
달램쉐어하우스,신대방점,여성전용,1000만원,27만원,1인실
자몽 셰어하우스,군자점,남성전용,300만원,38만원,1인실
카페인하우스,사가정역점,남성전용,76만원,38만원,2인실
카페인하우스,사가정역점,여성전용,76만원,38만원,2인실
품안의 새,나르샤_신림역 4인실,여성전용,70만원,35만원,4인실
품안의 새,어번_신림역 Room ImB,여성전용,70만원,35만원,4인실
하품 (하우스 꿈을 품다),1호점,남성전용,1000만원,64만원,1인실
