매물명,건물형태,방,화장실,층,전체면적,난방방식,승강기,주차,반려동물,흡연,조리도구,식기류,전자레인지,전기포트,에어컨,정수기,세탁기,식탁,청소기,신발장,냉장고,와이파이,커피포트,수납함,청소서비스,의자,분리수거함,가스레인지,토스터,TV,소파,다리미,커튼,소독,전신거울,빨래건조대,옷장,테라스,밥솥,스탠드,건조기,도로명주소
우주 83호점,단독주택,7개,7개,2층,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,X,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 서초구 서초중앙로22길 22-8
웨이브 쉐어하우스 건대 2호점,빌라,2개,1개,1층,11평,개별난방,없음,가능,불가능,별도협의,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울 광진구 아차산로27길 57-6
자몽 셰어하우스 고척동점,단독주택,4개,2개,2층,25평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,X,X,O,O,X,X,X,O,O,O,X,O,O,O,O,X,X,X,X,X,O,X,X,서울특별시 구로구 중앙로 91-16
모아 문래역점,아파트,3개,2개,18층,26평,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 영등포구 선유로9나길 5
홈스케치 아현1호점,빌라,3개,2개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 서대문구 북아현로20길 7
플레몬 쉐어하우스 26호점(창천동),기타,11개,3개,3층,45평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울 서대문구 연세로5가길 27
하모하우스 서강대점_여성,빌라,4개,3개,2층,42평,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,O,서울특별시 마포구 백범로21길 23
캑터스 하우스 망원2호점,빌라,3개,1개,1층,14평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,X,X,X,O,X,X,X,O,X,O,O,X,서울특별시 마포구 포은로 97-1
셰어하우스 허브 합정 1호점,단독주택,3개,1개,,15평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,서울특별시 마포구 토정로 17-4
팸하우스 세종대 2호점(202호),빌라,2개,1개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,서울특별시 광진구 동일로54길 6
우주 91호점,빌라,4개,4개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 성동구 송정2길 11
토닥토닥 쉐어하우스 이대점,아파트,3개,1개,2층,19평,개별난방,없음,가능,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울 서대문구 이화여대8길 10
팸하우스 가산디지털단지점,아파트,4개,2개,,41평,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 금천구 가산로 99
