매물명,성별전용,면적,보증금,월세,인실,만실,건물형태,방,화장실,층,전체면적,난방방식,승강기,주차,반려동물,흡연,조리도구,식기류,전자레인지,전기포트,에어컨,정수기,세탁기,식탁,청소기,신발장,냉장고,와이파이,커피포트,수납함,청소서비스,의자,분리수거함,가스레인지,토스터,TV,소파,다리미,커튼,소독,전신거울,빨래건조대,옷장,테라스,밥솥,스탠드,건조기,도로명주소
동거동락 13호 서울역점,여성전용,8.1㎡,116만원,54만원,1인실,O,빌라,6개,4개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,서울특별시 용산구 두텁바위로 125
동거동락 13호 서울역점,여성전용,7.9㎡,113만원,52.5만원,1인실,O,빌라,6개,4개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,서울특별시 용산구 두텁바위로 125
동거동락 13호 서울역점,여성전용,8㎡,113만원,52.5만원,1인실,X,빌라,6개,4개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,서울특별시 용산구 두텁바위로 125
동거동락 13호 서울역점,여성전용,7.4㎡,116만원,54만원,1인실,O,빌라,6개,4개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,서울특별시 용산구 두텁바위로 125
동거동락 13호 서울역점,여성전용,6.8㎡,113만원,52.5만원,1인실,X,빌라,6개,4개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,서울특별시 용산구 두텁바위로 125
동거동락 13호 서울역점,여성전용,8.1㎡,114만원,53만원,1인실,X,빌라,6개,4개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,서울특별시 용산구 두텁바위로 125
동거동락 30호점,여성전용,9㎡,111만원,46만원,1인실,O,기타,8개,3개,,150㎡,알수없음,없음,가능,불가능,불가능,O,X,O,X,O,O,O,X,O,O,O,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,서울 강남구 역삼로17길 36
동거동락 30호점,여성전용,12㎡,124만원,52.5만원,1인실,O,기타,8개,3개,,150㎡,알수없음,없음,가능,불가능,불가능,O,X,O,X,O,O,O,X,O,O,O,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,서울 강남구 역삼로17길 36
동거동락 30호점,여성전용,8㎡,121만원,51만원,1인실,O,기타,8개,3개,,150㎡,알수없음,없음,가능,불가능,불가능,O,X,O,X,O,O,O,X,O,O,O,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,서울 강남구 역삼로17길 36
동거동락 30호점,여성전용,9㎡,123만원,52만원,1인실,O,기타,8개,3개,,150㎡,알수없음,없음,가능,불가능,불가능,O,X,O,X,O,O,O,X,O,O,O,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,서울 강남구 역삼로17길 36
동거동락 30호점,여성전용,12㎡,125만원,53만원,1인실,O,기타,8개,3개,,150㎡,알수없음,없음,가능,불가능,불가능,O,X,O,X,O,O,O,X,O,O,O,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,서울 강남구 역삼로17길 36
동거동락 30호점,여성전용,8㎡,122만원,51.5만원,1인실,O,기타,8개,3개,,150㎡,알수없음,없음,가능,불가능,불가능,O,X,O,X,O,O,O,X,O,O,O,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,서울 강남구 역삼로17길 36
동거동락 30호점,여성전용,10㎡,124만원,52.5만원,1인실,O,기타,8개,3개,,150㎡,알수없음,없음,가능,불가능,불가능,O,X,O,X,O,O,O,X,O,O,O,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,서울 강남구 역삼로17길 36
동거동락 30호점,여성전용,24㎡,99만원,40만원,1인실,O,기타,8개,3개,,150㎡,알수없음,없음,가능,불가능,불가능,O,X,O,X,O,O,O,X,O,O,O,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,서울 강남구 역삼로17길 36
잠자리 구로디지털단지 : 12호점,여성전용,9.9㎡,90만원,45만원,1인실,X,단독주택,3개,1개,1층,65.42㎡,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,O,O,X,서울특별시 관악구 조원로11길 13
잠자리 구로디지털단지 : 12호점,여성전용,9.9㎡,90만원,45만원,1인실,X,단독주택,3개,1개,1층,65.42㎡,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,O,O,X,서울특별시 관악구 조원로11길 13
